word,count
b'\xd3\xa2\xce\xf7\xc1x\xc4\xc4\x87\xf8',1
b'\xc7\xe0\xd3\x96',4
b'\xd7\xee\xba\xc3',16
b'kodaayu',1
b'\xca\xc0',31
b'\x86T',35
b'\xc1\xc3\xc3\xc3',1
b'\xd5Z\xe4\x9b',1
b'07',422
b'\xb6\xfe',14
b'\xb8\xfc',31
b'\xbc\xe6',3
b'\xea\xa0\xdaA',2
b'\xb1\xac\xb7N\xd7\xe5',1
b'\xd5J\xcd\xac',4
b'\xb8\xfc\xd0\xc2',9
b'nuturewind',17
b'smallsix',1
b'\xca\xc0\xd7\xe3\xd9\x90',172
b'\xdf\\\xd3\xc3',4
b'\xc4\xc4\xd0\xa9',13
b'AI',1
b'\xbc\xbc\xd0g',7
b'2018ESPY',1
b'\xca\xc0\xd7\xe3\xca\xb7',2
b'\xcd\xac\xd2\xbb',9
b'\xc8\xcb\xcd\xac\x88\xf6',2
b'\xdfM',67
b'\x83\xc9\xdf\x85',3
b'\xc7\xf2\xe9T',11
b'\xd2\xaa',143
b'\xae\x94\xdfx',5
b'\xca\xc0\xbd\xe7\xd7\xe3\xc7\xf2',8
b'\xbe\xdf\x82\xe4',2
b'\xc4\xc7\xd0\xa9',7
b'\x97l\xbc\xfe',5
b'\xc4\xd8',36
b'lkjhj888',1
b'chao0201',3
b'\xdf@\x82\x80',17
b'\xb0\xe5',19
b'\xb2\xbb\xc4\xdc',67
b'\xae\x94\xd7\xf7',2
b'RX00',8
b'baozi',7
b'Waka',2
b'MV',2
b'\xd1e\xc3\xe6',2
b'\xb3\xf6\xacF',12
b'\xb1\xc6\xc6\xbd',5
b'\xd5\xf0\xba\xb3',3
b'\xb1\xf9\x8du',69
b'\xdeo\xc2\x9a',6
b'yenyu73',12
b'\xbf\xcb\xc1_\xb0\xa3',38
b'\xce\xf7\x81\x86\xdf[\xd0\xd0',1
b'\xdf[\xb4\xac',1
b'\xba\x9e\xb3\xaa\x95\xfe',1
b'\xbf\x82',46
b'\xd5\xfb\xc0\xed',22
b'\xb0\xcd\xce\xf7',545
b'\xd2\xbb\xcc\x96',1
b'\xdeD\x95\xfe\xd9M',4
b'\x84\x93',5
b'\xbco\xe4\x9b',29
b'62',11
b'\x8cW',5
b'\xb4\xf2\x92\xdf',1
b'\xb8\xfc\xd2\xc2\xca\xd2',5
b'\xd6\xd0\x87\xf8',75
b'\xbeW\xd3\xd1',27
b'\xcb\xe1',24
b'\x90\xdb\xa0\x96\xdf_',108
b'FB',21
b'maxhung',1
b'\xaa\x9a\xbc\xd2',1
b'\xd4L\x86\x96',2
b'\xeeA\xb8\xe6',4
b'@',10
b'\xb1\xb1\xbe\xa9',2
b'\xca\xc0\xd7\xe3\x84\x82',1
b'\xbf\xc9\xc4\xdc',56
b'\xbd\xfb\xd9\x90',8
b'\xc4\xce\xbc\xb0',27
b'\xc0\xfb\x81\x86',31
b'\xb8\xe3',12
b'\xc5\xc9\xcf\xb5',1
b'\xf4Y',1
b'\xb4\xf3\xbc\xd2',128
b'Perisic',1
b'\xba\xcd',118
b'Mandzukic',1
b'\xd3\xd0\xca\xb2\xfcN',11
b'\xd4u\x83r',6
b'\xc7\xf2\x86T\x91c',3
b'\xd7\xa3\x84\xd9\xc0\xfb',3
b'\x94z\xd3\xb0\x8e\x9f',3
b'\xc2\xf1\xc6\xf0',3
b'\x81\xed',121
b'\xb4\xf3\xebu',1
b'\x8aZ\xb9\xda',107
b'\xb6\xba\xc8\xa4',1
